epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8567342162132263,0.8889811635017395,0.3220489025115967,0.8742635250091553,0.9163959622383118,0.2856460511684418
1,0.886073112487793,0.9301490187644958,0.26254063844680786,0.8813202977180481,0.9243302941322327,0.27246809005737305
2,0.8958238363265991,0.94114089012146,0.24253186583518982,0.8826587796211243,0.9255960583686829,0.2719864547252655
3,0.9010813236236572,0.9468126893043518,0.23124755918979645,0.8823667168617249,0.925243616104126,0.27349352836608887
4,0.9047030806541443,0.9504470825195312,0.22357378900051117,0.8820106983184814,0.9245331883430481,0.2758508324623108
5,0.907643735408783,0.9532634615898132,0.21741066873073578,0.8822439312934875,0.9240530133247375,0.2787517309188843
6,0.9100074768066406,0.9555599689483643,0.21216894686222076,0.8813615441322327,0.9227864742279053,0.2813569903373718
7,0.9121816158294678,0.9575361013412476,0.20754985511302948,0.8810550570487976,0.9225093722343445,0.28488823771476746
8,0.9141445159912109,0.9593530297279358,0.20318417251110077,0.880232572555542,0.920520544052124,0.29012537002563477
9,0.9161140322685242,0.9609256982803345,0.1992645412683487,0.8794317245483398,0.9202268719673157,0.29214733839035034
